date,ALAPUZHA,ERNAKULAM,IDUKKI,KANNUR,KASARAGOD,KOLLAM,KOTTAYAM,KOZHIKODE,MALAPPURAM,PALAKKAD,PATHANAMTHITTA,THIRUVANANTHPURAM,THRISSUR,WAYANAD
20180801,11,18,36,17,2,16,23,0,45,52,16,66,14,1
20180802,31,0.6,2,0.7,15,1,12,2,2,19,1,1,3,0
20180803,18,3,12,39,26,19,8,1,9,6,19,0,0,0
20180804,7,8,1,12,19,0.8,2,7,10,0,0.8,0,0,2
20180805,0.5,9,3,2,12,0,0.6,4,15,0.05,0,0.05,14,0
20180806,4,1,12,7,0.8,3,14,2,9,24,3,0.05,0,0
20180807,0.7,0,40,9,8,12,2,8,10,26,12,6,34,3
20180808,22,35,98,36,7,68,37,20,40,38,68,14,111,2
20180809,51,11,171,15,10,66,38,6,10,214,66,56,29,0
20180810,14,10,37,7,10,48,35,10,10,58,48,44,7,0
20180811,18,6,29,18,99,27,22,22,20,10,27,3,13,0
20180812,9,3,29,27,37,0.8,2,39,24,17,0.8,4,14,0
20180813,10,13,76,75,51,16,8,34,50,69,16,21,0,0
20180814,0,11,177,30,66,3,12,86,90,99,3,23,0,0
20180815,0,91,164,137,66,107,80,197,210,82,107,139,141,0
20180816,0,113,0,48,52,67,72,134,125,168,67,42,0,0
20180817,0,56,207,0,92,98,93,6,36,99,98,0.05,148,0
20180818,0,34,73,38,25,54,46,23,23,18,54,24,24,0
20180819,96,24,55,6,30,8,18,12,6,7,8,2,28,0
20180820,97,2,32,5,6,7,13,8,3,7,7,2,3,0
20180821,10,3,32,0.8,17,4,7,5,3,5,4,0.4,0,1
20180822,61,13,12,4,19,0,14,8,6,2,0,1,7,2
20180823,34,0.05,0,5,12,0,0,18,0,0,0,0,1,2
20180824,11,0,2,0.05,19,0,0,2,0.05,0,0,0,0,3
20180825,6,0,1,0.2,8,0,0,0,0,0.05,0,0,0,1
20180826,4,0,1,0,7,0,0,0,0,0,0,0,0,7
20180827,1,5,2,2,6,1,0,0.9,0.3,0.05,1,0,0,1
20180828,33,7,19,15,23,4,28,11,15,0.4,4,0.2,10,0.8
20180829,16,5,16,18,37,4,8,20,11,11,4,0.05,22,0
20180830,0.6,0,6,7,15,0,0,0,0.4,0.05,0,0,0.2,0
20180831,0,2,5,0.3,6,0,0,0,0.1,17,0,0,0,3
20180901,0,0.2,12,1,4,0.4,0.6,0,0.05,35,0.4,0,0,0